source_release_id,event_date,publication_date,initiator_country_code,affected_country_code,strike_type,operation_day_count,verification_status,include_in_core_series,counting_unit,title,location,weapon_system,description,source_id,source_url
4541002,2026-07-12,2026-07-12,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,CENTCOM Completes Another Wave of Strikes Against Iran,Iran,"Fighter aircraft, naval vessels, one-way attack aerial drones and sea drones","CENTCOM confirms offensive strikes on Iranian air-defence, radar, missile, drone and small-boat targets on July 12.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4541002/centcom-completes-another-wave-of-strikes-against-iran/
4544409,2026-07-13,2026-07-13,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Forces Complete New Strikes on Iranian Military Targets,"Bushehr, Chah Bahar, Jask, Konarak, Abu Musa and Bandar Abbas",Precision munitions,"CENTCOM confirms a five-hour wave against coastal defence, missile, drone and maritime targets across Iran on July 13.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4544409/us-forces-complete-new-strikes-on-iranian-military-targets/
4546775,2026-07-14,2026-07-14,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,CENTCOM Completes More Strikes Against Iran,Strait of Hormuz and Iranian coastal areas,"Precision munitions from fighter aircraft, drones and naval vessels","CENTCOM confirms a seven-hour wave against Iranian missile, drone, naval and coastal-defence targets on July 14.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4546775/centcom-completes-more-strikes-against-iran/
4546816,2026-07-15,2026-07-15,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,Latest Wave of U.S. Strikes Against Iran Completed,"Multiple Iranian locations including Bandar Abbas and Greater Tunb Island",Precision munitions,"CENTCOM confirms morning and evening strike waves on Iranian command, air-defence, missile, drone, cruise-missile and coastal-surveillance targets on July 15; they count as one operation day.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4546816/latest-wave-of-us-strikes-against-iran-completed/
4548433,2026-07-16,2026-07-16,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Successfully Completes New Strikes in Iran,Iran,"Precision munitions from fighter jets, aerial drones and warships","CENTCOM confirms a major wave against Iranian surveillance, air-defence, logistics and maritime targets on July 16.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4548433/us-successfully-completes-new-strikes-in-iran/
4549624,2026-07-17,2026-07-17,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,CENTCOM Finishes Latest Wave of Strikes Against Iran,Iran,"Fighter aircraft, aerial drones and warships","CENTCOM confirms strikes on Iranian surveillance, logistics, underground weapons-storage and maritime targets on July 17.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4549624/centcom-finishes-latest-wave-of-strikes-against-iran/
4549643,2026-07-18,2026-07-18,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Completes 8th Consecutive Night of Strikes Against Iran,Iran,U.S. military assets,"CENTCOM confirms strikes on Iranian coastal surveillance, air-defence, maritime, missile and drone-storage targets on July 18.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4549643/us-completes-8th-consecutive-night-of-strikes-against-iran/
4549657,2026-07-19,2026-07-19,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,CENTCOM Ends Weekend Wave of Strikes Against Iran,Iran,CENTCOM assets,"CENTCOM confirms strikes on Iranian command, air-defence, coastal-surveillance, maritime, missile, drone and communications targets on July 19.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4549657/centcom-ends-weekend-wave-of-strikes-against-iran/
4550818,2026-07-20,2026-07-20,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Finishes Latest Strikes Against Iran,Iran,U.S. forces,"CENTCOM confirms strikes on Iranian command, maritime, missile, drone-launch and air-defence targets on July 20.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4550818/us-finishes-latest-strikes-against-iran/
4552008,2026-07-21,2026-07-21,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Forces Complete 11th Night of Strikes Against Iran,Iran,CENTCOM assets,"CENTCOM confirms strikes on Iranian military operations centres, maritime capabilities, aircraft hangars, drone storage and logistics infrastructure on July 21.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4552008/us-forces-complete-11th-night-of-strikes-against-iran/
4553225,2026-07-22,2026-07-22,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,CENTCOM Completes Latest Strikes Against Iran,Iran,U.S. forces,"CENTCOM confirms strikes on Iranian maritime, missile, drone-storage, coastal-surveillance and air-defence targets on July 22.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4553225/centcom-completes-latest-strikes-against-iran/
4554310,2026-07-23,2026-07-23,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Concludes 13th Night of Strikes on Iranian Military Targets,Iran,CENTCOM forces,"CENTCOM confirms strikes on Iranian command, drone-storage, communications, coastal-surveillance and maritime targets on July 23.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4554310/us-concludes-13th-night-of-strikes-on-iranian-military-targets/
4558191,2026-07-28,2026-07-28,US,IQ,airstrike,1,CONFIRMED,false,official_release_confirmed_operation_day,"U.S., Saudi Forces Strike Iran-Backed Terrorist Sites in Iraq",Eastern Iraq,U.S. and Saudi fighter aircraft,"CENTCOM confirms joint U.S.-Saudi strikes on Iran-aligned logistics and weapons sites in eastern Iraq on July 28; the affected country is outside the Iran/Israel core series.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4558191/us-saudi-forces-strike-iran-backed-terrorist-sites-in-iraq/
4559495,2026-07-29,2026-07-29,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Strikes IRGC Targets After Attempted Iranian Attacks,Iran,CENTCOM assets,"CENTCOM confirms a heavy wave against Iranian command, missile, drone, surveillance, defence and maritime targets on July 29.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4559495/us-strikes-irgc-targets-after-attempted-iranian-attacks/
